loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
3692,5, Graduate, Yes,2400000,6900000,20,725,1700000,400000,8800000,2400000, Approved
3693,1, Not Graduate, Yes,8100000,27600000,16,438,1000000,10500000,32200000,8000000, Rejected
3694,5, Graduate, Yes,5400000,21400000,12,399,4000000,9700000,12400000,6800000, Rejected
3695,0, Graduate, No,1400000,5400000,8,592,4100000,400000,4300000,800000, Approved
3696,2, Not Graduate, No,2500000,8600000,8,835,2500000,4000000,7700000,1300000, Approved
3697,0, Not Graduate, Yes,1600000,5300000,4,733,400000,2100000,5500000,1100000, Approved
3698,0, Not Graduate, No,3700000,10600000,20,484,5800000,1300000,13900000,3500000, Rejected
3699,5, Not Graduate, Yes,500000,1800000,20,615,500000,700000,1100000,300000, Approved
3700,3, Not Graduate, Yes,5300000,19500000,4,591,13200000,4700000,19800000,7900000, Approved
3701,0, Graduate, Yes,2800000,6800000,12,349,4100000,2000000,11100000,1400000, Rejected
3702,1, Graduate, Yes,9600000,29900000,18,478,18500000,15200000,38200000,9400000, Rejected
3703,4, Graduate, No,2200000,7800000,20,633,0,3900000,8400000,1900000, Approved
3704,1, Not Graduate, Yes,8400000,30900000,8,378,18600000,1000000,25900000,11100000, Rejected
3705,1, Not Graduate, No,2100000,5300000,20,461,1500000,3800000,8100000,1700000, Rejected
3706,2, Not Graduate, Yes,2800000,7000000,2,834,500000,2900000,8100000,1300000, Approved
3707,0, Not Graduate, No,2500000,5800000,20,671,7400000,500000,7500000,2000000, Approved
3708,3, Graduate, Yes,1700000,5800000,10,524,4100000,2900000,6600000,800000, Rejected
3709,3, Graduate, No,6100000,20700000,4,816,14900000,5400000,24200000,5900000, Approved
3710,3, Graduate, No,4100000,11700000,10,729,6900000,6200000,15400000,2100000, Approved
3711,5, Not Graduate, Yes,4500000,12700000,8,307,11000000,3800000,12600000,2700000, Rejected
3712,2, Graduate, Yes,5600000,19100000,8,350,2700000,1200000,14200000,4200000, Rejected
3713,3, Not Graduate, Yes,5800000,16600000,10,444,13300000,5900000,15000000,8500000, Rejected
3714,4, Not Graduate, No,8600000,26700000,10,895,2200000,8800000,22600000,6900000, Approved
3715,2, Graduate, No,2900000,10500000,20,708,4200000,600000,7700000,4300000, Approved
3716,2, Not Graduate, Yes,8300000,17600000,2,355,1000000,700000,28400000,6800000, Rejected
3717,5, Not Graduate, No,2400000,5100000,6,756,1500000,200000,5300000,3400000, Approved
3718,4, Graduate, No,5600000,12000000,4,719,5600000,2900000,14500000,3400000, Approved
3719,1, Graduate, Yes,9500000,35400000,14,439,400000,1200000,20200000,13500000, Rejected
3720,4, Not Graduate, Yes,4900000,15900000,10,668,10800000,8300000,14900000,2800000, Approved
3721,4, Not Graduate, Yes,5900000,16500000,2,765,13000000,9400000,20000000,3500000, Approved
3722,5, Graduate, Yes,500000,1500000,4,476,200000,200000,1100000,700000, Approved
3723,3, Graduate, No,7000000,21700000,14,781,5400000,8500000,19300000,9600000, Approved
3724,1, Not Graduate, No,3500000,12700000,4,350,5200000,6800000,12900000,1800000, Approved
3725,0, Graduate, No,5200000,12200000,16,783,5000000,2000000,11400000,5100000, Approved
3726,3, Graduate, Yes,6300000,19900000,12,770,1900000,2400000,15500000,3100000, Approved
3727,2, Not Graduate, No,8400000,28300000,10,822,1800000,16000000,33000000,4400000, Approved
3728,1, Not Graduate, Yes,7500000,22500000,14,469,12300000,9600000,16200000,4500000, Rejected
3729,2, Graduate, No,3300000,13000000,16,300,5500000,5900000,7400000,3100000, Rejected
3730,2, Not Graduate, No,8800000,22400000,14,692,21700000,5100000,18600000,10900000, Approved
3731,5, Graduate, No,200000,700000,18,707,-100000,100000,500000,200000, Approved
3732,5, Not Graduate, Yes,8000000,29100000,4,658,10600000,8600000,28800000,4600000, Approved
3733,3, Graduate, No,1000000,4000000,6,625,700000,100000,2800000,500000, Approved
3734,1, Graduate, No,9400000,26700000,10,343,7600000,2500000,28600000,13200000, Rejected
3735,5, Graduate, No,2100000,7300000,18,358,3700000,3200000,7200000,2200000, Rejected
3736,4, Graduate, Yes,5400000,11500000,20,705,14600000,3800000,13500000,6100000, Approved
3737,2, Graduate, Yes,4700000,15100000,8,799,9700000,2500000,10700000,4700000, Approved
3738,3, Graduate, No,8800000,33700000,12,397,17300000,16000000,22200000,8800000, Rejected
3739,5, Graduate, No,3200000,12200000,6,493,7700000,6200000,6700000,2100000, Rejected
3740,0, Graduate, Yes,7200000,21900000,4,446,17700000,10900000,24500000,7600000, Approved
3741,2, Not Graduate, Yes,2500000,7200000,16,315,5500000,3300000,4900000,2800000, Rejected
3742,5, Not Graduate, Yes,6900000,15700000,14,887,13800000,5300000,25200000,4500000, Approved
3743,5, Graduate, Yes,5700000,20500000,16,429,2800000,1900000,22400000,3900000, Rejected
3744,4, Graduate, Yes,5500000,15100000,18,673,10500000,8000000,13900000,7200000, Approved
3745,4, Not Graduate, Yes,9200000,29100000,10,731,14500000,8300000,35800000,5000000, Approved
3746,5, Graduate, Yes,5700000,11500000,2,732,15800000,3700000,15600000,5300000, Approved
3747,5, Graduate, Yes,5000000,16400000,14,525,13000000,9100000,15300000,3300000, Rejected
3748,4, Not Graduate, No,2300000,5500000,6,343,-100000,4100000,4800000,3200000, Rejected
3749,0, Not Graduate, Yes,3000000,11000000,16,331,8000000,4500000,6600000,2400000, Rejected
3750,0, Not Graduate, No,7900000,26200000,18,845,14200000,14700000,27400000,6300000, Approved
3751,2, Graduate, No,2000000,6200000,16,696,4100000,600000,5400000,1300000, Approved
3752,5, Not Graduate, No,2700000,8700000,14,772,2200000,2800000,7600000,3700000, Approved
3753,3, Graduate, Yes,6400000,15800000,18,628,6900000,2700000,24800000,5300000, Approved
3754,0, Not Graduate, Yes,8200000,19100000,2,764,22900000,8900000,20500000,4000000, Approved
3755,1, Graduate, No,2800000,6900000,14,553,400000,4900000,6800000,4200000, Approved
3756,1, Not Graduate, No,8900000,20000000,2,653,12700000,600000,17800000,9900000, Approved
3757,1, Not Graduate, No,5100000,20000000,4,506,7900000,8900000,20300000,6700000, Approved
3758,3, Graduate, No,2800000,8500000,20,431,6200000,1700000,7800000,2200000, Rejected
3759,2, Not Graduate, Yes,6100000,12300000,18,697,14100000,9100000,12600000,3500000, Approved
3760,2, Not Graduate, No,8400000,24500000,6,588,11000000,1300000,22900000,10400000, Approved
3761,1, Not Graduate, No,1600000,5600000,6,846,600000,2800000,4600000,1200000, Approved
3762,5, Graduate, No,4100000,11000000,14,379,6200000,1700000,8500000,5400000, Rejected
3763,1, Not Graduate, No,300000,700000,10,745,0,0,900000,100000, Approved
3764,3, Graduate, No,9600000,34500000,20,523,26100000,2600000,24300000,5300000, Rejected
3765,4, Graduate, Yes,8300000,25400000,4,624,22900000,4000000,24800000,5400000, Approved
3766,1, Graduate, No,4600000,16700000,16,407,13000000,6000000,9800000,2800000, Rejected
3767,3, Not Graduate, Yes,5600000,11600000,12,756,3300000,1800000,18400000,7800000, Approved
3768,3, Graduate, Yes,4100000,8300000,16,351,6000000,100000,11100000,2200000, Rejected
3769,3, Not Graduate, No,3700000,13400000,18,373,2800000,100000,13200000,2500000, Rejected
3770,4, Not Graduate, Yes,800000,2400000,2,461,1300000,1300000,2300000,300000, Approved
3771,4, Graduate, No,8100000,28100000,12,672,5600000,9200000,17200000,9500000, Approved
3772,2, Graduate, Yes,2700000,9500000,10,434,2700000,1500000,8100000,1800000, Rejected
3773,2, Not Graduate, Yes,7000000,21400000,12,541,3700000,1300000,19800000,9600000, Rejected
3774,3, Not Graduate, Yes,8100000,29300000,2,413,8100000,15100000,25500000,6400000, Approved
3775,1, Graduate, No,3200000,7600000,4,592,3000000,1400000,8100000,4700000, Approved
3776,4, Not Graduate, Yes,400000,1400000,10,665,300000,300000,1500000,200000, Approved
3777,1, Graduate, No,7800000,23900000,4,313,2600000,15300000,23000000,10900000, Approved
3778,0, Not Graduate, No,5800000,19600000,14,673,8900000,10700000,18000000,7200000, Approved
3779,0, Not Graduate, Yes,2600000,6000000,8,382,1700000,2200000,8200000,1600000, Rejected
3780,5, Not Graduate, No,5400000,21100000,12,661,15800000,10400000,20100000,5400000, Approved
3781,3, Graduate, Yes,600000,1700000,4,576,400000,100000,2100000,500000, Approved
3782,1, Graduate, No,600000,1200000,14,443,700000,1000000,2200000,800000, Rejected
3783,5, Graduate, Yes,9500000,21700000,16,307,27500000,2700000,28500000,9700000, Rejected
3784,4, Graduate, Yes,1900000,4800000,12,656,1500000,1600000,5400000,1700000, Approved
3785,1, Graduate, Yes,9800000,21200000,4,885,18000000,16400000,37300000,10800000, Approved
3786,3, Graduate, No,7800000,16600000,20,896,12400000,10800000,30500000,5500000, Approved
3787,5, Not Graduate, No,4900000,14100000,2,802,3300000,7500000,16100000,2700000, Approved
3788,3, Graduate, Yes,8300000,22700000,2,650,3600000,16000000,18000000,5800000, Approved
3789,4, Not Graduate, Yes,3900000,8900000,10,665,9300000,4000000,9200000,5300000, Approved
3790,2, Graduate, No,9000000,35700000,12,339,15200000,8400000,19500000,9000000, Rejected
3791,1, Not Graduate, No,9600000,32400000,20,447,15400000,18400000,19800000,4700000, Rejected
3792,5, Not Graduate, Yes,1000000,2400000,18,613,1600000,1300000,2600000,600000, Approved
3793,5, Graduate, No,2800000,7200000,16,424,900000,5000000,6100000,3200000, Rejected
3794,2, Not Graduate, No,8300000,20800000,6,667,19300000,4100000,25400000,6800000, Approved
3795,4, Not Graduate, Yes,6900000,18300000,18,715,8200000,600000,15000000,7500000, Approved
3796,5, Not Graduate, Yes,3800000,9100000,18,654,9000000,4000000,10200000,3000000, Approved
3797,2, Not Graduate, No,8000000,17800000,20,549,2400000,9700000,27400000,10800000, Rejected
3798,4, Graduate, Yes,9800000,29700000,4,373,11100000,5500000,37800000,10000000, Approved
3799,0, Graduate, Yes,2900000,7200000,16,332,3600000,5700000,7600000,3600000, Rejected
3800,4, Graduate, No,7900000,31500000,20,534,12400000,8500000,21600000,6400000, Rejected
3801,3, Not Graduate, No,4600000,17900000,8,396,10700000,4000000,12300000,2600000, Rejected
3802,2, Graduate, No,1000000,3700000,18,892,2200000,800000,3000000,500000, Approved
3803,5, Graduate, No,9000000,21300000,14,602,3400000,7700000,35400000,11000000, Approved
3804,0, Graduate, Yes,9400000,36100000,10,615,21200000,3800000,27400000,9100000, Approved
3805,5, Graduate, Yes,7400000,23300000,20,482,15700000,3600000,29100000,6800000, Rejected
3806,0, Graduate, No,6600000,20100000,16,397,19200000,7000000,17200000,8400000, Rejected
3807,0, Not Graduate, No,1300000,3400000,10,464,1200000,200000,3500000,1400000, Rejected
3808,0, Graduate, Yes,1100000,3400000,14,832,3200000,200000,4400000,1600000, Approved
3809,5, Graduate, No,9200000,34800000,12,802,22000000,11000000,19800000,12500000, Approved
3810,2, Graduate, No,7000000,23900000,18,628,13400000,6600000,25200000,7200000, Approved
3811,4, Graduate, No,5100000,18800000,10,694,6400000,5300000,13500000,4100000, Approved
3812,1, Not Graduate, Yes,3200000,9300000,20,741,3800000,3500000,6900000,2300000, Approved
3813,1, Not Graduate, Yes,3700000,10900000,14,748,3700000,2800000,13200000,4100000, Approved
3814,5, Graduate, No,3600000,12800000,4,320,2500000,2900000,12600000,2900000, Approved
3815,1, Graduate, No,5600000,11700000,10,774,11000000,4300000,13100000,6500000, Approved
3816,0, Not Graduate, Yes,9500000,32000000,2,500,8300000,9700000,24500000,5600000, Approved
3817,4, Not Graduate, No,1500000,4000000,18,706,0,2700000,4400000,1700000, Approved
3818,4, Not Graduate, No,7400000,18300000,10,601,16400000,12600000,28800000,6100000, Approved
3819,2, Graduate, No,6000000,17400000,16,806,1800000,2100000,20200000,3500000, Approved
3820,0, Graduate, Yes,3000000,9600000,6,644,3900000,700000,10500000,3000000, Approved
3821,4, Graduate, Yes,6000000,12900000,14,723,700000,1600000,13600000,4100000, Approved
3822,5, Graduate, Yes,600000,1500000,12,509,1600000,100000,1900000,800000, Rejected
3823,0, Graduate, No,1800000,6600000,4,898,2400000,100000,4600000,1400000, Approved
3824,2, Graduate, Yes,5500000,12000000,2,567,7200000,4700000,11500000,7000000, Approved
3825,1, Graduate, No,1000000,2100000,6,715,2200000,1000000,2200000,1100000, Approved
3826,2, Not Graduate, Yes,1700000,3500000,10,854,5000000,2400000,3400000,1700000, Approved
3827,1, Graduate, Yes,3400000,12300000,8,523,6100000,4700000,8300000,2600000, Rejected
3828,1, Graduate, Yes,9600000,35900000,8,534,24500000,17700000,31900000,5400000, Rejected
3829,0, Not Graduate, Yes,2600000,7600000,18,470,700000,700000,5500000,2900000, Rejected
3830,1, Graduate, No,1600000,3500000,18,619,3200000,100000,6300000,1500000, Approved
3831,0, Graduate, Yes,4300000,12800000,20,572,8600000,2200000,11000000,6100000, Approved
3832,3, Graduate, No,1400000,3500000,16,365,2600000,2200000,2900000,1600000, Rejected
3833,0, Not Graduate, No,8000000,18000000,16,791,13900000,10300000,23400000,10600000, Approved
3834,4, Not Graduate, Yes,5000000,18100000,12,424,5200000,2000000,14500000,6100000, Rejected
3835,5, Graduate, No,4500000,10200000,12,726,2900000,8600000,17500000,4200000, Approved
3836,1, Graduate, No,3400000,9900000,2,736,3900000,4800000,10600000,4500000, Approved
3837,5, Graduate, Yes,5700000,12800000,14,488,13600000,1000000,13200000,5500000, Rejected
3838,2, Not Graduate, Yes,2600000,7600000,10,400,6800000,2800000,10100000,3200000, Rejected
3839,0, Graduate, Yes,4500000,12200000,20,311,11200000,5000000,12700000,2400000, Rejected
3840,2, Not Graduate, Yes,5100000,16800000,2,504,6400000,2700000,17100000,4400000, Approved
3841,4, Not Graduate, Yes,5100000,18600000,20,312,9600000,6000000,16500000,5500000, Rejected
3842,5, Graduate, Yes,1700000,6500000,14,587,1100000,1000000,6400000,1500000, Approved
3843,1, Not Graduate, No,5200000,10500000,20,317,3000000,8000000,19300000,5300000, Rejected
3844,4, Not Graduate, No,8400000,29000000,2,463,12700000,1100000,20100000,6700000, Approved
3845,1, Not Graduate, Yes,9000000,34000000,16,842,6300000,16900000,22900000,5800000, Approved
3846,4, Graduate, Yes,3400000,11800000,20,616,5000000,3300000,9900000,2900000, Approved
3847,1, Not Graduate, No,5400000,19400000,8,800,800000,6100000,19500000,3000000, Approved
3848,0, Graduate, Yes,700000,2100000,12,813,200000,1300000,2200000,500000, Approved
3849,2, Graduate, No,7600000,24800000,12,564,14000000,6200000,24700000,6700000, Approved
3850,2, Not Graduate, No,5000000,14700000,12,837,2200000,7200000,11700000,4800000, Approved
3851,5, Not Graduate, Yes,2500000,9400000,16,735,0,2200000,9500000,1700000, Approved
3852,4, Not Graduate, Yes,2000000,5200000,16,724,5200000,3800000,4600000,2800000, Approved
3853,5, Not Graduate, No,9000000,23900000,12,658,5700000,4600000,32100000,6100000, Approved
3854,5, Graduate, No,8300000,31800000,16,858,24600000,11100000,26300000,8500000, Approved
3855,0, Not Graduate, Yes,3100000,8500000,8,614,1700000,4600000,11000000,3300000, Approved
3856,2, Graduate, Yes,8500000,25600000,16,714,11400000,14800000,17200000,5700000, Approved
3857,2, Graduate, Yes,1200000,4600000,20,605,3600000,1500000,4600000,600000, Approved
3858,4, Graduate, Yes,2800000,5500000,8,875,6900000,4000000,6000000,3300000, Approved
3859,5, Graduate, Yes,2800000,10900000,6,359,5000000,3300000,7600000,3000000, Rejected
3860,5, Graduate, Yes,6500000,24100000,6,441,14100000,9600000,15300000,5200000, Rejected
3861,4, Graduate, No,8700000,25200000,18,790,25000000,9100000,18400000,8400000, Approved
3862,1, Not Graduate, Yes,5400000,13600000,4,821,11600000,8700000,19900000,5600000, Approved
3863,2, Not Graduate, No,8600000,33300000,16,375,19600000,11200000,25500000,11200000, Rejected
3864,3, Graduate, No,4700000,9600000,10,545,5200000,7200000,12000000,5300000, Rejected
3865,5, Not Graduate, Yes,1100000,3900000,4,891,1100000,200000,3400000,900000, Approved
3866,0, Graduate, No,6400000,14000000,8,486,5100000,12700000,23900000,3700000, Rejected
3867,0, Graduate, No,4300000,9900000,4,696,12400000,2100000,17000000,2100000, Approved
3868,5, Not Graduate, Yes,2900000,11100000,4,683,1700000,3900000,9400000,3300000, Approved
3869,5, Not Graduate, No,9600000,27100000,8,594,25500000,4600000,26800000,13300000, Approved
3870,3, Not Graduate, Yes,900000,2500000,20,529,900000,300000,3200000,700000, Rejected
3871,5, Not Graduate, No,8100000,26300000,4,429,3600000,8500000,22200000,6900000, Approved
3872,0, Not Graduate, Yes,8800000,25000000,4,400,11300000,4000000,23600000,9400000, Rejected
3873,0, Graduate, No,8800000,17500000,4,848,25400000,8200000,31600000,5100000, Approved
3874,1, Not Graduate, No,6400000,21500000,6,489,1600000,4600000,17600000,8900000, Rejected
3875,2, Graduate, No,2900000,6600000,10,326,8600000,2200000,7400000,3400000, Rejected
3876,5, Graduate, No,1600000,6100000,8,663,3900000,800000,6400000,1200000, Approved
3877,1, Not Graduate, No,1600000,5100000,18,729,2500000,2000000,6200000,900000, Approved
3878,2, Graduate, Yes,3100000,10700000,4,398,3100000,3000000,7400000,2000000, Approved
3879,2, Not Graduate, Yes,5600000,16700000,14,856,400000,10200000,14700000,5200000, Approved
3880,3, Graduate, Yes,8100000,19900000,20,347,22800000,14400000,29800000,5500000, Rejected
3881,3, Not Graduate, No,9100000,19300000,12,696,26200000,7700000,30100000,13300000, Approved
3882,0, Graduate, Yes,5500000,17100000,8,353,400000,200000,17100000,5200000, Rejected
3883,1, Graduate, Yes,9700000,34300000,20,756,15700000,18500000,26800000,14100000, Approved
3884,4, Graduate, No,2300000,5400000,16,490,6200000,3700000,5500000,2100000, Rejected
3885,1, Not Graduate, Yes,5600000,18000000,10,531,6500000,9000000,19800000,8400000, Rejected
3886,2, Not Graduate, Yes,4500000,16600000,4,679,10300000,3100000,11700000,5000000, Approved
3887,1, Graduate, Yes,500000,1800000,8,877,100000,200000,1100000,600000, Approved
3888,0, Graduate, No,4200000,11000000,20,817,6700000,2400000,11700000,6100000, Approved
3889,1, Not Graduate, No,9100000,23300000,18,792,800000,12600000,32100000,12400000, Approved
3890,4, Graduate, Yes,3200000,12800000,18,664,6300000,3400000,7600000,2100000, Approved
3891,4, Graduate, Yes,6200000,21300000,16,882,11800000,3500000,12900000,4100000, Approved
3892,3, Not Graduate, Yes,2500000,7700000,10,768,4500000,400000,8000000,2600000, Approved
3893,0, Graduate, No,9100000,27100000,12,787,24300000,2900000,34800000,9500000, Approved
3894,3, Graduate, Yes,500000,900000,12,538,0,700000,1500000,300000, Rejected
3895,4, Not Graduate, No,6900000,18000000,8,347,16400000,9300000,18300000,8700000, Rejected
3896,0, Graduate, Yes,1800000,5200000,16,317,4900000,1500000,4000000,1300000, Rejected
3897,0, Graduate, Yes,4000000,14500000,2,713,6200000,4900000,12200000,4700000, Approved
3898,1, Not Graduate, No,3900000,12300000,10,683,1000000,700000,11700000,2400000, Approved
3899,2, Not Graduate, Yes,8000000,28100000,18,765,24000000,10500000,17700000,8200000, Approved
3900,5, Graduate, No,900000,3200000,10,803,1600000,1700000,2300000,800000, Approved
3901,0, Graduate, Yes,8200000,29700000,6,405,3900000,800000,23900000,5700000, Rejected
3902,5, Graduate, No,2300000,4900000,4,529,6200000,3900000,9200000,2000000, Rejected
3903,5, Graduate, Yes,6900000,19400000,6,801,10100000,9400000,17000000,5500000, Approved
3904,3, Not Graduate, No,8800000,30700000,12,707,15000000,100000,32800000,8000000, Approved
3905,1, Graduate, No,2600000,7200000,8,349,5900000,1400000,9400000,3000000, Rejected
3906,1, Graduate, No,3700000,8700000,20,885,6200000,3500000,10900000,2600000, Approved
3907,2, Graduate, Yes,6200000,23800000,4,489,2900000,7500000,21300000,3300000, Approved
3908,3, Graduate, Yes,1000000,2600000,6,341,2900000,1700000,3600000,1100000, Rejected
3909,1, Not Graduate, No,6000000,20000000,12,637,10800000,4300000,20000000,8600000, Approved
3910,1, Not Graduate, Yes,9100000,31400000,4,304,14100000,16700000,30200000,9600000, Approved
3911,1, Graduate, No,1700000,6700000,16,537,4300000,2900000,3500000,1100000, Rejected
3912,5, Not Graduate, Yes,1700000,4600000,12,503,900000,2200000,4800000,1200000, Rejected
3913,1, Graduate, No,7100000,14300000,12,720,4600000,500000,27300000,8400000, Approved
3914,5, Graduate, No,9400000,36800000,10,509,20700000,7400000,22400000,6300000, Rejected
3915,5, Not Graduate, No,6200000,16400000,6,360,900000,7200000,22400000,6300000, Rejected
3916,1, Graduate, No,8300000,31800000,16,818,23400000,7400000,32200000,8500000, Approved
3917,1, Graduate, Yes,8900000,21200000,8,716,5400000,9200000,23800000,7900000, Approved
3918,1, Graduate, Yes,6500000,14800000,12,360,3500000,2100000,15000000,7300000, Rejected
3919,3, Graduate, Yes,8100000,26700000,10,895,5100000,9800000,17100000,9900000, Approved
3920,2, Not Graduate, No,4900000,13500000,8,328,10500000,8100000,18300000,3400000, Rejected
3921,4, Graduate, No,9100000,26600000,2,812,23300000,11900000,33100000,10400000, Approved
3922,3, Graduate, Yes,9000000,33100000,16,456,23800000,7000000,26000000,7100000, Rejected
3923,4, Graduate, Yes,1300000,3900000,16,566,700000,200000,3400000,1600000, Approved
3924,1, Not Graduate, No,6700000,25000000,20,598,5300000,12900000,13600000,7000000, Approved
3925,5, Not Graduate, No,3200000,9300000,6,656,7000000,3200000,12700000,4200000, Approved
3926,0, Not Graduate, No,7500000,28700000,2,895,2000000,4100000,21500000,7200000, Approved
3927,3, Graduate, No,4900000,12800000,14,653,7300000,1000000,13000000,7200000, Approved
3928,1, Not Graduate, Yes,700000,1800000,16,641,2100000,400000,1600000,900000, Approved
3929,2, Graduate, No,6400000,16500000,8,544,12100000,6300000,15200000,5400000, Rejected
3930,0, Not Graduate, Yes,3900000,14100000,20,811,5700000,3600000,10500000,5300000, Approved
3931,4, Graduate, No,9700000,26900000,10,460,11400000,3900000,31400000,9300000, Rejected
3932,5, Graduate, Yes,3600000,12500000,12,795,10600000,2700000,11100000,4800000, Approved
3933,2, Graduate, Yes,3400000,10300000,4,745,4900000,4000000,10000000,3900000, Approved
3934,0, Not Graduate, No,9800000,20100000,16,606,6200000,800000,37300000,8700000, Approved
3935,1, Not Graduate, No,5100000,14200000,6,451,6100000,7600000,11400000,5600000, Rejected
3936,4, Graduate, Yes,5900000,11800000,8,479,11000000,1200000,15700000,3900000, Rejected
3937,5, Graduate, No,1200000,2400000,14,495,1800000,1800000,4100000,1300000, Rejected
3938,2, Not Graduate, No,9700000,30200000,14,769,23700000,13600000,26400000,7500000, Approved
3939,5, Not Graduate, Yes,4700000,11800000,4,639,3600000,700000,9400000,5500000, Approved
3940,5, Graduate, No,4200000,12500000,18,723,1200000,300000,12900000,6100000, Approved
3941,4, Graduate, No,9300000,26100000,16,623,11700000,10500000,21100000,10700000, Approved
3942,3, Not Graduate, Yes,5300000,20800000,6,487,9700000,3400000,18500000,4200000, Rejected
3943,0, Graduate, No,7600000,30100000,2,743,20700000,8700000,27600000,9600000, Approved
3944,2, Graduate, No,6200000,16900000,12,754,2300000,4200000,15300000,7900000, Approved
3945,0, Graduate, No,8900000,21600000,10,552,2300000,9900000,20700000,11900000, Approved
3946,4, Not Graduate, Yes,7900000,27300000,10,560,23100000,14400000,28500000,10900000, Approved
3947,1, Graduate, Yes,3500000,10800000,14,632,6900000,1500000,10900000,4200000, Approved
3948,2, Graduate, No,5300000,16700000,18,339,4600000,3300000,12000000,4100000, Rejected
3949,2, Not Graduate, No,1400000,3100000,4,881,3700000,400000,5000000,1100000, Approved
3950,1, Not Graduate, Yes,9100000,23600000,20,535,2800000,17600000,26400000,4500000, Rejected
3951,4, Not Graduate, No,4400000,17200000,4,563,4100000,3700000,12700000,2900000, Approved
3952,5, Not Graduate, No,2800000,8200000,14,615,7400000,3300000,6700000,2700000, Approved
3953,3, Not Graduate, No,1300000,3300000,8,795,1400000,800000,4600000,1600000, Approved
3954,4, Graduate, No,8400000,28700000,14,878,23400000,8300000,23900000,8600000, Approved
3955,5, Graduate, Yes,5300000,14000000,6,633,11800000,4500000,12800000,6100000, Approved
3956,2, Graduate, No,6000000,13900000,4,533,3000000,9600000,14600000,4100000, Rejected
3957,2, Not Graduate, Yes,2100000,6800000,12,795,6100000,1900000,7200000,2400000, Approved
3958,0, Not Graduate, No,4300000,11000000,4,374,7100000,7300000,9300000,4700000, Rejected
3959,4, Not Graduate, Yes,7300000,22900000,12,848,6300000,2900000,28500000,4100000, Approved
3960,2, Graduate, No,5200000,16200000,12,890,10500000,9600000,15800000,3900000, Approved
3961,3, Graduate, No,4700000,9800000,14,444,8200000,300000,15700000,3800000, Rejected
3962,4, Graduate, No,7800000,28500000,4,803,15500000,11300000,21100000,9800000, Approved
3963,3, Graduate, Yes,500000,1900000,18,618,-100000,600000,1000000,400000, Approved
3964,1, Not Graduate, Yes,6000000,20300000,14,845,5000000,7800000,23700000,8700000, Approved
3965,4, Graduate, No,4800000,10800000,12,833,3000000,4000000,16400000,7100000, Approved
3966,3, Graduate, Yes,8900000,19300000,12,767,12000000,2200000,24700000,7700000, Approved
3967,1, Graduate, Yes,1800000,4000000,16,747,700000,200000,4600000,900000, Approved
3968,2, Graduate, No,3000000,7000000,4,588,5300000,3400000,11900000,3400000, Approved
3969,4, Not Graduate, No,7700000,24500000,20,582,9800000,6600000,29100000,6500000, Approved
3970,1, Not Graduate, No,8300000,20400000,14,348,5600000,12500000,29100000,4700000, Rejected
3971,4, Not Graduate, No,4200000,9400000,4,726,10000000,8100000,16100000,5500000, Approved
3972,4, Graduate, Yes,8000000,31200000,6,482,19800000,11500000,22200000,5700000, Rejected
3973,2, Graduate, Yes,9400000,30000000,16,565,1200000,3900000,28200000,9000000, Approved
3974,1, Graduate, No,800000,2400000,16,872,2400000,1200000,1900000,900000, Approved
3975,0, Graduate, Yes,500000,1300000,4,825,600000,0,1800000,200000, Approved
3976,2, Graduate, Yes,6100000,22300000,8,694,16200000,10900000,22900000,7200000, Approved
3977,3, Graduate, Yes,8500000,30800000,20,448,23000000,1400000,22900000,7900000, Rejected
3978,5, Graduate, Yes,7600000,18000000,12,452,7900000,4300000,23800000,4700000, Rejected
3979,3, Not Graduate, No,8700000,17900000,12,897,16400000,3500000,31600000,12500000, Approved
3980,4, Not Graduate, No,9400000,20200000,10,803,24800000,1000000,34400000,4800000, Approved
3981,1, Not Graduate, Yes,400000,900000,8,828,600000,500000,1500000,300000, Approved
3982,0, Graduate, No,2700000,7500000,6,832,7700000,1200000,10000000,2500000, Approved
3983,1, Not Graduate, Yes,2300000,5500000,6,861,1600000,1200000,4700000,1700000, Approved
3984,0, Graduate, No,7500000,15900000,2,535,17500000,5700000,23600000,4500000, Rejected
3985,4, Not Graduate, Yes,7100000,19400000,16,363,17900000,2600000,22600000,4000000, Rejected
3986,1, Not Graduate, Yes,8800000,28600000,8,631,11000000,13200000,25000000,7700000, Approved
3987,2, Not Graduate, No,8400000,20700000,6,513,500000,16400000,18800000,7900000, Rejected
3988,0, Graduate, Yes,4700000,16200000,16,317,12700000,400000,9400000,2500000, Rejected
3989,1, Graduate, No,6900000,19500000,2,809,6100000,10600000,22900000,9300000, Approved
3990,3, Not Graduate, No,2400000,8200000,10,531,6800000,1900000,5700000,2000000, Rejected
3991,1, Not Graduate, Yes,1600000,4800000,14,544,2200000,200000,6200000,1200000, Rejected
3992,0, Graduate, No,3500000,7800000,14,366,6400000,3000000,13700000,4900000, Rejected
3993,0, Not Graduate, No,3700000,12700000,14,797,1300000,1100000,12300000,3700000, Approved
3994,1, Not Graduate, No,3200000,12000000,16,597,6800000,1900000,7700000,2200000, Approved
3995,2, Not Graduate, Yes,7000000,22500000,12,632,12500000,4600000,20400000,4900000, Approved
